line_name,date,year,month,day_of_year,weekday,pattern,observed_kwh,observed_mwh_per_day,log1p_kwh,tas_c_mean_7d,pred_target,pred_log1p_kwh,predicted_kwh,predicted_mwh_per_day,base_value,explanation_model,target
长戒线（452）,2024-04-25,2024,4,116,3,Pattern 1,5168.348848589549,5.168348848589549,8.55050201152191,18.871428080967494,8.438234944173905,8.438234944173905,4619.392532327873,4.619392532327873,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申安一回(483),2024-09-27,2024,9,271,4,Pattern 1,66171.8755814518,66.1718755814518,11.100025923541859,22.885714394705637,10.694082254619383,10.694082254619383,44093.14360832703,44.09314360832703,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江东线（445）,2024-12-03,2024,12,338,1,Pattern 1,34566.72118340291,34.566721183402905,10.450675611836441,9.049999918256487,10.198731094272963,10.198731094272963,26868.070116956744,26.868070116956744,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙电二回（479）,2024-12-31,2024,12,366,1,Pattern 1,12964.22513961765,12.964225139617652,9.47002606300654,6.591651394705636,9.659732569842829,9.659732569842829,15672.592516250175,15.672592516250175,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙腾二回（462）,2024-07-10,2024,7,192,2,Pattern 1,38816.48443663107,38.81648443663107,10.566626053918323,26.907142911638534,8.364858358006671,8.364858358006671,4292.503554564927,4.292503554564927,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
后铁线（454）,2024-04-15,2024,4,106,0,Pattern 1,28286.52544674525,28.28652544674525,10.250176189517004,16.55714293888637,10.013189701291699,10.013189701291699,22317.912703140963,22.317912703140962,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江山一回（458）,2024-12-19,2024,12,354,3,Pattern 1,34972.2455018469,34.9722455018469,10.46233863392507,7.142857210976737,10.24754948975797,10.24754948975797,28212.320110705048,28.212320110705047,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
光高线（459）,2024-07-20,2024,7,202,5,Pattern 1,2509.427485390691,2.509427485390691,7.828208330528891,28.042856761387416,8.644469469269744,8.644469469269744,5677.653758474322,5.677653758474322,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
相思线（451）,2024-11-01,2024,11,306,4,Pattern 1,350.0728127081312,0.35007281270813123,5.860993645565324,17.628570829119003,5.881664266030916,5.881664266030916,357.4052272770821,0.35740522727708207,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江牌线（464）,2024-09-01,2024,9,245,6,Pattern 1,35635.6942823847,35.6356942823847,10.48113112426341,31.89285741533552,11.473628359978767,11.473628359978767,96145.50106534631,96.14550106534631,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
金管二回（465）,2024-02-12,2024,2,43,0,Pattern 1,12344.00054142533,12.34400054142533,9.421006445637143,7.350000006811959,10.162416103107475,10.162416103107475,25909.824716799794,25.909824716799793,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
熊铁一回(456),2024-11-29,2024,11,334,4,Pattern 1,33301.46746253253,33.30146746253253,10.413386771197366,10.200000149863106,10.030208463126348,10.030208463126348,22701.00358262704,22.701003582627038,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
油小线（466）,2024-04-25,2024,4,116,3,Pattern 1,2725.57532893298,2.72557532893298,7.910801642421275,19.992856979370117,9.288591432262418,9.288591432262418,10812.941197093416,10.812941197093416,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江山一回（458）,2024-07-08,2024,7,190,0,Pattern 1,40020.16723552267,40.02016723552267,10.59716377401731,27.649999618530273,10.129117554397162,10.129117554397162,25061.2386082158,25.061238608215803,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申纺三回(479),2024-04-17,2024,4,108,2,Pattern 1,97037.90966277484,97.03790966277484,11.482867307598243,14.242857251848493,10.458044381946735,10.458044381946735,34822.38357589304,34.82238357589304,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
