pattern,temp7_c,temperature_effect_log1p,ridge_alpha,n_train,n_lines
Pattern 3,21.04784442434579,-1.4567457012697105,1.0,15719,11
Pattern 3,21.357571700555937,-1.4416759252513163,1.0,15719,11
Pattern 3,21.66729897676608,-1.4252133023864386,1.0,15719,11
Pattern 3,21.977026252976227,-1.4076886206447932,1.0,15719,11
Pattern 3,22.28675352918637,-1.389430734523862,1.0,15719,11
Pattern 3,22.596480805396517,-1.3707684985211268,1.0,15719,11
Pattern 3,22.90620808160666,-1.3520315728964218,1.0,15719,11
Pattern 3,23.215935357816807,-1.3335511164019056,1.0,15719,11
Pattern 3,23.52566263402695,-1.3156561127192392,1.0,15719,11
Pattern 3,23.835389910237097,-1.2986754163459042,1.0,15719,11
Pattern 3,24.14511718644724,-1.2829378817793828,1.0,15719,11
Pattern 3,24.454844462657388,-1.2687637330760484,1.0,15719,11
Pattern 3,24.76457173886753,-1.256089047299719,1.0,15719,11
Pattern 3,25.074299015077678,-1.2444144275644684,1.0,15719,11
Pattern 3,25.38402629128782,-1.2332215818447878,1.0,15719,11
Pattern 3,25.693753567497968,-1.2219922181151688,1.0,15719,11
Pattern 3,26.00348084370811,-1.2102061008765832,1.0,15719,11
Pattern 3,26.313208119918258,-1.1973399279822212,1.0,15719,11
Pattern 3,26.6229353961284,-1.182877255849518,1.0,15719,11
Pattern 3,26.932662672338548,-1.1662997924529641,1.0,15719,11
Pattern 3,27.24238994854869,-1.1470892457670512,1.0,15719,11
Pattern 3,27.552117224758838,-1.1247232710995108,1.0,15719,11
Pattern 3,27.86184450096898,-1.0986699542140521,1.0,15719,11
Pattern 3,28.17157177717913,-1.0684235728108316,1.0,15719,11
Pattern 3,28.48129905338927,-1.0334658348643406,1.0,15719,11
Pattern 3,28.79102632959942,-0.993278448349069,1.0,15719,11
Pattern 3,29.10075360580956,-0.9473406569876979,1.0,15719,11
Pattern 3,29.41048088201971,-0.8951045483882385,1.0,15719,11
Pattern 3,29.720208158229852,-0.8362820132034957,1.0,15719,11
Pattern 3,30.02993543444,-0.7715358688488538,1.0,15719,11
Pattern 3,30.339662710650142,-0.7018340358571474,1.0,15719,11
Pattern 3,30.649389986860285,-0.6281446648630826,1.0,15719,11
Pattern 3,30.959117263070432,-0.5514260445515329,1.0,15719,11
Pattern 3,31.268844539280575,-0.47266476489021925,1.0,15719,11
Pattern 3,31.578571815490722,-0.39282993536851285,1.0,15719,11
