line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year
江都线（481）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江高线（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
油小线（466）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油新一回（482）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油沙一回（472）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油沙三回（468）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油沙二回487,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油源线（469）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油玉线（478）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油盐线（479）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油茨一回（467）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
油茨二回（481）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油铁一回（483）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油铁二回（471）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
油高线（473）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
清云一回（476）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清医一回（451）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清寰线（466）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清永线（468）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清沙线（455）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清泉一回（453）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清泉三回（477）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清泉二回（452）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清泉五回（467）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清泉六回（472）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清泉四回（478）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清牌一回（474）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清瑞线（454）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清电线（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清胜线（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清达三回（465）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清达二回（469）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
清鑫线（466）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
瀼河线（457）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
熊园一回(453),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
熊园二回(467),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
熊家一回(465),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
熊家二回(466),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
熊铁一回(456),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申凤线(464),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申化线(451),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申叶线(459),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申周线(457),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申园二回(463),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申园线(487),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申城线(468),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申大线(469）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申安一回(483),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申安二回(478),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申明线(458),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申污线(488),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申湖线(455),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申玉线(467),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申筑一回(474),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申筑二回(456),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申纺一回(482),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申纺三回(479),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申纺二回(481),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申萃一回(477),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申萃二回(462),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申运线(486),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申铁一回(461),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申铁二回(465),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申飞一回（471),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
申飞二回(473),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
白双线（457）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
白土线（454）,16.105694,24.845068,190.70227,1618.5271,365,ssp126,ACCESS-CM2,2021
白地线（453）,16.105694,24.845068,190.70227,1618.5271,365,ssp126,ACCESS-CM2,2021
白大线（459）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
白太线（456）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
白恒一回（458）,16.105694,24.845068,190.70227,1618.5271,365,ssp126,ACCESS-CM2,2021
白普线（455）,16.105694,24.845068,190.70227,1618.5271,365,ssp126,ACCESS-CM2,2021
白石线（455）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
白羊线（453）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
相化线（321）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
相安线（453）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
相思线（451）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
相柱线（454）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
相静二回（458）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
相高线（459）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
相鹿线（452）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
立苇一回（451）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
立苇三回（453）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
立苇二回（452）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
红沙一回(459),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
红沙二回(461),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
罗中线（459）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
罗田线（451）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
罗电线（456),16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
罗铁线（322）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
罗马线（458）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
腾高二回（474）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
腾高线（453）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
至开关站（461）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
走中线（454）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
走马线（453）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
赶场线（452）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
重啤线（466）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
金管一回（466）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
金管三回（463）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
金管二回（465）,18.163303,26.921991,380.67194,1275.1626,365,ssp126,ACCESS-CM2,2021
钢厂三回（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
钢厂二回（455）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长坝线（452）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
长坪线（457）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长大线（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长天线（453）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长开线（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长戒线（452）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长楼线（457）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
长永线（455）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
长河线（461）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
长流线（454）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
