line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,downscaled_minus_raw_c
北山二回（454）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
北山五回（458）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
北山四回（457）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
北清一回(459),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
北清二回(461),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
医专一回（476）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
双走线（451）,17.43977,26.054602,309.97446,1370.9153,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.10305132330024,26.202215457138195,257.1464469601598,1385.0967125795398,365,-0.33671842157280807
双龙线（455）,17.43977,26.054602,309.97446,1370.9153,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.10305132330024,26.202215457138195,257.1464469601598,1385.0967125795398,365,-0.33671842157280807
古化线(456),19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
古国线(462),19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
古沙线(454),19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
古瑞二回(464),19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
古瑞线(455),19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
古铁线(458),19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
后关线（461）,19.06224,27.84168,509.0736,1130.8148,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.442202369282523,26.625999251205158,298.14341438288903,1342.8354840159486,365,-1.6200382313034147
后桥线（455）,18.313448,27.052149,417.28867,1242.5016,365,ssp126,ACCESS-CM2,2030,Pattern 2,16.257910587247096,25.290442415446538,185.97946370539552,1541.7357777966754,365,-2.0555373650234117
后紫线（462）,19.06224,27.84168,509.0736,1130.8148,365,ssp126,ACCESS-CM2,2030,Pattern 1,16.540690408488388,25.577150492152416,208.67569804601004,1491.1332473111472,365,-2.52155019209755
后铁线（454）,19.06224,27.84168,509.0736,1130.8148,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.871660265412054,27.068534486346543,341.84807527002306,1268.5046421163374,365,-1.190580335173884
周医一回(464),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
周医二回(468),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
周家坝一回(456),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
周柳线(452),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
周铁一回(459),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
壤杨线（456）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.60029919038284,27.88725567897404,427.8824342466413,1151.0350645970348,365,-0.338730503220674
壤武线（453）,19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
壤武线（457）,19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,-0.9335332870752673
壤渡线（454）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.60029919038284,27.88725567897404,427.8824342466413,1151.0350645970348,365,-0.338730503220674
壤电线（458）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大三一回（456）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大三二回（478）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大医线（453）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大周线(451),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.833118759220856,28.259290950790575,474.3600285298741,1128.4882557141666,365,0.0724280701339417
大安二回（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
